,2014 Crimean crisis,2014 FIFA World Cup,2014 Hong Kong protests,2014 Israel–Gaza conflict,2014 Winter Olympics,Ebola virus epidemic in West Africa,Heartbleed,Islamic State of Iraq and the Levant,Malaysia Airlines Flight 370,Robin Williams,"Scottish independence referendum, 2014"
2014-03-24,42621.0,13305.0,0.0,0.0,4241.0,0.0,0.0,1590.0,221755.0,4278.0,4110.0
2014-03-25,28739.0,14553.0,0.0,0.0,4243.0,0.0,0.0,1456.0,260775.0,4406.0,3751.0
2014-03-26,21946.0,13664.0,0.0,0.0,3861.0,0.0,0.0,1433.0,148648.0,4293.0,3298.0
2014-03-27,20409.0,13514.0,0.0,0.0,3779.0,0.0,0.0,1952.0,105362.0,4388.0,2974.0
2014-03-28,12756.0,11714.0,0.0,0.0,3718.0,0.0,0.0,1925.0,79141.0,3878.0,2554.0
2014-03-29,8012.0,10082.0,0.0,0.0,2601.0,0.0,0.0,1500.0,59058.0,3969.0,2813.0
2014-03-30,8495.0,11654.0,0.0,0.0,2919.0,0.0,0.0,1885.0,64899.0,4574.0,3351.0
2014-03-31,9191.0,14865.0,0.0,0.0,3620.0,0.0,0.0,1352.0,61961.0,4243.0,3093.0
2014-04-01,7787.0,15059.0,0.0,0.0,3136.0,0.0,0.0,1337.0,58070.0,3990.0,3516.0
2014-04-02,8418.0,16135.0,0.0,0.0,3112.0,0.0,0.0,5835.0,47319.0,4167.0,2984.0
2014-04-03,7511.0,18269.0,0.0,0.0,3238.0,0.0,0.0,2580.0,51826.0,5095.0,2972.0
2014-04-04,6661.0,14851.0,0.0,0.0,2883.0,0.0,0.0,1705.0,46317.0,5415.0,2437.0
2014-04-05,4973.0,13016.0,0.0,0.0,2233.0,0.0,0.0,1453.0,41035.0,4201.0,2463.0
2014-04-06,5179.0,13229.0,0.0,0.0,2436.0,0.0,0.0,1315.0,42641.0,4688.0,3238.0
2014-04-07,7852.0,15978.0,0.0,0.0,3004.0,0.0,7.0,1667.0,47831.0,5103.0,2982.0
2014-04-08,7313.0,16284.0,0.0,0.0,2794.0,0.0,5281.0,1865.0,37254.0,4626.0,3646.0
2014-04-09,6614.0,16351.0,0.0,0.0,2784.0,0.0,21187.0,1397.0,35470.0,4696.0,3144.0
2014-04-10,6535.0,15989.0,0.0,0.0,2510.0,0.0,12251.0,1478.0,31702.0,4623.0,2817.0
2014-04-11,5485.0,14200.0,0.0,0.0,2122.0,0.0,46511.0,1415.0,29200.0,6759.0,2861.0
2014-04-12,4522.0,11724.0,0.0,0.0,1682.0,0.0,45995.0,1229.0,23943.0,4730.0,3333.0
2014-04-13,6790.0,12762.0,0.0,0.0,2067.0,0.0,61337.0,1134.0,25084.0,5049.0,2774.0
2014-04-14,8443.0,16282.0,0.0,0.0,2217.0,0.0,87140.0,1337.0,30723.0,4594.0,2736.0
2014-04-15,8405.0,18179.0,0.0,0.0,2348.0,0.0,105263.0,1310.0,27633.0,4486.0,3418.0
2014-04-16,8223.0,16673.0,0.0,0.0,2363.0,0.0,58330.0,1429.0,26889.0,4675.0,2725.0
2014-04-17,8880.0,15959.0,0.0,0.0,2158.0,0.0,51835.0,1176.0,25666.0,11225.0,2369.0
2014-04-18,7107.0,14811.0,0.0,0.0,1755.0,0.0,32921.0,1188.0,21884.0,9741.0,1935.0
2014-04-19,5266.0,13072.0,0.0,0.0,1648.0,0.0,30701.0,1124.0,19605.0,5203.0,1922.0
2014-04-20,5377.0,13550.0,0.0,0.0,1698.0,0.0,25244.0,1129.0,19605.0,5317.0,2700.0
2014-04-21,7117.0,16983.0,0.0,0.0,2201.0,0.0,31609.0,1216.0,25549.0,4931.0,2992.0
2014-04-22,7875.0,20350.0,0.0,0.0,2209.0,0.0,38401.0,1577.0,24240.0,5122.0,3309.0
2014-04-23,7810.0,22371.0,0.0,0.0,2427.0,0.0,28414.0,1452.0,23074.0,4418.0,3773.0
2014-04-24,7864.0,20661.0,0.0,0.0,2198.0,0.0,24799.0,1350.0,21239.0,4498.0,3908.0
2014-04-25,7908.0,19013.0,0.0,0.0,2082.0,0.0,19697.0,1487.0,19553.0,5100.0,2648.0
2014-04-26,6431.0,16471.0,0.0,0.0,1716.0,0.0,9868.0,1833.0,15680.0,6975.0,2495.0
2014-04-27,6250.0,17267.0,0.0,0.0,1919.0,0.0,7903.0,1604.0,17562.0,5920.0,2876.0
2014-04-28,8156.0,21293.0,0.0,0.0,2286.0,0.0,15996.0,1666.0,21333.0,4150.0,3163.0
2014-04-29,7863.0,23727.0,0.0,0.0,2319.0,0.0,15684.0,1841.0,20887.0,4485.0,2964.0
2014-04-30,6877.0,23341.0,0.0,0.0,1946.0,0.0,14190.0,2591.0,17865.0,4387.0,3058.0
2014-05-01,6395.0,21945.0,0.0,0.0,1995.0,0.0,11033.0,2161.0,19726.0,4702.0,3079.0
2014-05-02,8468.0,20893.0,0.0,0.0,1951.0,0.0,9478.0,2163.0,18312.0,4483.0,2535.0
2014-05-03,6973.0,17134.0,0.0,0.0,1549.0,0.0,5383.0,1791.0,12301.0,4701.0,1969.0
2014-05-04,6917.0,18911.0,0.0,0.0,1653.0,0.0,5205.0,1664.0,14067.0,4636.0,3124.0
2014-05-05,9774.0,26014.0,0.0,0.0,2010.0,0.0,8408.0,1678.0,16653.0,4762.0,3204.0
2014-05-06,7611.0,28398.0,0.0,0.0,2021.0,0.0,8276.0,1761.0,17030.0,4212.0,2876.0
2014-05-07,7127.0,35298.0,0.0,0.0,1756.0,0.0,8244.0,1680.0,17450.0,5278.0,2921.0
2014-05-08,6838.0,38652.0,0.0,0.0,1820.0,0.0,8462.0,1912.0,17151.0,4054.0,2622.0
2014-05-09,6978.0,35262.0,0.0,0.0,1767.0,0.0,6918.0,1748.0,14693.0,3812.0,2728.0
2014-05-10,5656.0,27101.0,0.0,0.0,1556.0,0.0,3935.0,1773.0,12584.0,4217.0,2264.0
2014-05-11,6438.0,28701.0,0.0,0.0,1695.0,0.0,3801.0,1712.0,13779.0,5157.0,3064.0
2014-05-12,9458.0,57916.0,0.0,0.0,2025.0,0.0,6403.0,1941.0,19422.0,4925.0,2870.0
2014-05-13,7335.0,65928.0,0.0,0.0,2506.0,0.0,6437.0,1769.0,18268.0,4415.0,2856.0
2014-05-14,6037.0,59669.0,0.0,0.0,2074.0,0.0,5814.0,1596.0,16763.0,4315.0,2711.0
2014-05-15,5380.0,44088.0,0.0,0.0,1927.0,0.0,5013.0,1580.0,16700.0,3846.0,2889.0
2014-05-16,4023.0,38515.0,0.0,0.0,1541.0,0.0,3975.0,1521.0,13251.0,4037.0,2287.0
2014-05-17,3403.0,32259.0,0.0,0.0,1407.0,0.0,2203.0,1292.0,11162.0,4089.0,1808.0
2014-05-18,3829.0,34349.0,0.0,0.0,1504.0,0.0,2232.0,2759.0,14259.0,4560.0,2600.0
